city,temperature,carbon_intensity,date_time
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:24:59
Paris,5.32,69.0,2025-02-12 13:35:09
Paris,5.32,69.0,2025-02-12 13:34:46
Paris,5.07,69.0,2025-02-12 13:41:06
Paris,5.07,73.0,2025-02-12 13:41:06
Paris,5.07,73.0,2025-02-12 13:41:06
Paris,5.13,73.0,2025-02-12 13:37:31
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:45:18
Paris,5.07,73.0,2025-02-12 13:55:18
Paris,5.07,73.0,2025-02-12 13:55:18
Paris,5.07,72.0,2025-02-12 13:55:18
Paris,5.25,72.0,2025-02-12 14:33:04
Paris,5.25,72.0,2025-02-12 14:33:04
Paris,5.25,72.0,2025-02-12 14:46:09
Paris,5.25,72.0,2025-02-12 14:46:09
Paris,5.45,72.0,2025-02-12 14:39:23
Paris,5.45,72.0,2025-02-12 14:39:23
Paris,5.45,72.0,2025-02-12 14:39:23
Paris,5.45,72.0,2025-02-12 14:47:45
Paris,5.45,72.0,2025-02-12 14:47:45
Paris,5.25,72.0,2025-02-12 14:46:18
Paris,5.25,72.0,2025-02-12 14:46:18
Paris,5.25,72.0,2025-02-12 14:46:18
Paris,5.25,72.0,2025-02-12 14:46:18
Paris,5.47,72.0,2025-02-12 14:55:36
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:49:08
Paris,5.65,72.0,2025-02-12 17:49:08
Paris,5.65,72.0,2025-02-12 17:40:09
Paris,5.65,72.0,2025-02-12 17:44:05
Paris,5.65,72.0,2025-02-12 17:55:23
Paris,5.65,72.0,2025-02-12 17:55:23
Dakar,22.07,72.0,2025-02-12 17:56:42
Paris,5.65,72.0,2025-02-12 17:55:23
Paris,5.65,72.0,2025-02-12 17:55:23
Paris,5.65,72.0,2025-02-12 17:55:23
Paris,5.65,72.0,2025-02-12 17:56:03
Paris,5.65,72.0,2025-02-12 18:15:19
Paris,5.65,72.0,2025-02-12 18:15:19
Dakar,21.07,72.0,2025-02-12 18:18:40
Paris,5.65,72.0,2025-02-12 18:15:10
Paris,5.65,72.0,2025-02-12 18:15:10
Paris,5.65,72.0,2025-02-12 18:15:10
Paris,5.47,72.0,2025-02-12 18:25:44
Paris,5.52,72.0,2025-02-12 18:19:43
Paris,5.52,72.0,2025-02-12 18:20:12
